Region,Date,Unemployment_Rate,Month,Year
Frankenthal,2023-01-31,7.8,1,2023
Ludwigshafen,2023-01-31,8.6,1,2023
Speyer,2023-01-31,5.5,1,2023
Heidelberg,2023-01-31,5.0,1,2023
Mannheim,2023-01-31,7.3,1,2023
Frankenthal,2023-02-28,7.5,2,2023
Ludwigshafen,2023-02-28,8.6,2,2023
Speyer,2023-02-28,5.6,2,2023
Heidelberg,2023-02-28,4.9,2,2023
Mannheim,2023-02-28,7.2,2,2023
Frankenthal,2023-03-31,7.5,3,2023
Ludwigshafen,2023-03-31,8.7,3,2023
Speyer,2023-03-31,5.6,3,2023
Heidelberg,2023-03-31,4.8,3,2023
Mannheim,2023-03-31,7.1,3,2023
Frankenthal,2023-04-30,7.4,4,2023
Ludwigshafen,2023-04-30,8.8,4,2023
Speyer,2023-04-30,5.6,4,2023
Heidelberg,2023-04-30,4.8,4,2023
Mannheim,2023-04-30,7.2,4,2023
Frankenthal,2023-05-31,6.9,5,2023
Ludwigshafen,2023-05-31,8.6,5,2023
Speyer,2023-05-31,5.5,5,2023
Heidelberg,2023-05-31,4.7,5,2023
Mannheim,2023-05-31,6.9,5,2023
Frankenthal,2023-06-30,7.1,6,2023
Ludwigshafen,2023-06-30,8.9,6,2023
Speyer,2023-06-30,5.7,6,2023
Heidelberg,2023-06-30,4.6,6,2023
Mannheim,2023-06-30,7.1,6,2023
Frankenthal,2023-07-31,7.2,7,2023
Ludwigshafen,2023-07-31,9.0,7,2023
Speyer,2023-07-31,5.7,7,2023
Heidelberg,2023-07-31,4.8,7,2023
Mannheim,2023-07-31,7.1,7,2023
Frankenthal,2023-08-31,7.5,8,2023
Ludwigshafen,2023-08-31,9.2,8,2023
Speyer,2023-08-31,6.1,8,2023
Heidelberg,2023-08-31,5.0,8,2023
Mannheim,2023-08-31,7.4,8,2023
Frankenthal,2023-09-30,7.3,9,2023
Ludwigshafen,2023-09-30,9.1,9,2023
Speyer,2023-09-30,5.7,9,2023
Heidelberg,2023-09-30,4.8,9,2023
Mannheim,2023-09-30,7.3,9,2023
Frankenthal,2023-10-31,7.2,10,2023
Ludwigshafen,2023-10-31,9.1,10,2023
Speyer,2023-10-31,5.7,10,2023
Heidelberg,2023-10-31,4.8,10,2023
Mannheim,2023-10-31,7.2,10,2023
Frankenthal,2023-11-30,7.1,11,2023
Ludwigshafen,2023-11-30,9.3,11,2023
Speyer,2023-11-30,5.8,11,2023
Heidelberg,2023-11-30,4.6,11,2023
Mannheim,2023-11-30,7.2,11,2023
Frankenthal,2023-12-31,7.2,12,2023
Ludwigshafen,2023-12-31,9.3,12,2023
Speyer,2023-12-31,5.7,12,2023
Heidelberg,2023-12-31,4.6,12,2023
Mannheim,2023-12-31,7.2,12,2023
Frankenthal,2024-01-31,7.6,1,2024
Ludwigshafen,2024-01-31,9.7,1,2024
Speyer,2024-01-31,6.2,1,2024
Heidelberg,2024-01-31,4.9,1,2024
Mannheim,2024-01-31,7.7,1,2024
Frankenthal,2024-02-29,7.6,2,2024
Ludwigshafen,2024-02-29,9.6,2,2024
Speyer,2024-02-29,6.1,2,2024
Heidelberg,2024-02-29,5.0,2,2024
Mannheim,2024-02-29,7.5,2,2024
Frankenthal,2024-03-29,7.4,3,2024
Ludwigshafen,2024-03-29,9.5,3,2024
Speyer,2024-03-29,6.0,3,2024
Heidelberg,2024-03-29,5.0,3,2024
Mannheim,2024-03-29,7.5,3,2024
Frankenthal,2024-04-29,7.3,4,2024
Ludwigshafen,2024-04-29,9.6,4,2024
Speyer,2024-04-29,6.1,4,2024
Heidelberg,2024-04-29,4.8,4,2024
Mannheim,2024-04-29,7.5,4,2024
Frankenthal,2024-05-29,7.3,5,2024
Ludwigshafen,2024-05-29,9.4,5,2024
Speyer,2024-05-29,6.1,5,2024
Heidelberg,2024-05-29,4.8,5,2024
Mannheim,2024-05-29,7.4,5,2024
Frankenthal,2024-06-29,7.6,6,2024
Ludwigshafen,2024-06-29,9.5,6,2024
Speyer,2024-06-29,6.2,6,2024
Heidelberg,2024-06-29,4.8,6,2024
Mannheim,2024-06-29,7.4,6,2024
Frankenthal,2024-07-29,7.9,7,2024
Ludwigshafen,2024-07-29,9.6,7,2024
Speyer,2024-07-29,6.3,7,2024
Heidelberg,2024-07-29,4.7,7,2024
Mannheim,2024-07-29,7.5,7,2024
Frankenthal,2024-08-29,8.1,8,2024
Ludwigshafen,2024-08-29,9.7,8,2024
Speyer,2024-08-29,6.6,8,2024
Heidelberg,2024-08-29,4.9,8,2024
Mannheim,2024-08-29,7.7,8,2024
Frankenthal,2024-09-29,7.9,9,2024
Ludwigshafen,2024-09-29,9.5,9,2024
Speyer,2024-09-29,6.2,9,2024
Heidelberg,2024-09-29,4.8,9,2024
Mannheim,2024-09-29,7.6,9,2024
Frankenthal,2024-10-29,7.8,10,2024
Ludwigshafen,2024-10-29,9.4,10,2024
Speyer,2024-10-29,6.0,10,2024
Heidelberg,2024-10-29,4.7,10,2024
Mannheim,2024-10-29,7.6,10,2024
Frankenthal,2024-11-29,7.7,11,2024
Ludwigshafen,2024-11-29,9.1,11,2024
Speyer,2024-11-29,6.1,11,2024
Heidelberg,2024-11-29,4.6,11,2024
Mannheim,2024-11-29,7.6,11,2024
Frankenthal,2024-12-29,7.7,12,2024
Ludwigshafen,2024-12-29,9.0,12,2024
Speyer,2024-12-29,6.1,12,2024
Heidelberg,2024-12-29,4.8,12,2024
Mannheim,2024-12-29,7.5,12,2024
Frankenthal,2025-01-29,8.2,1,2025
Ludwigshafen,2025-01-29,9.4,1,2025
Speyer,2025-01-29,6.3,1,2025
Heidelberg,2025-01-29,5.1,1,2025
Mannheim,2025-01-29,8.0,1,2025
Frankenthal,2025-02-28,8.1,2,2025
Ludwigshafen,2025-02-28,9.3,2,2025
Speyer,2025-02-28,6.2,2,2025
Heidelberg,2025-02-28,5.0,2,2025
Mannheim,2025-02-28,7.9,2,2025
Frankenthal,2025-03-28,8.2,3,2025
Ludwigshafen,2025-03-28,9.2,3,2025
Speyer,2025-03-28,6.1,3,2025
Heidelberg,2025-03-28,5.1,3,2025
Mannheim,2025-03-28,7.9,3,2025
Frankenthal,2025-04-28,8.1,4,2025
Ludwigshafen,2025-04-28,9.3,4,2025
Speyer,2025-04-28,6.0,4,2025
Heidelberg,2025-04-28,5.1,4,2025
Mannheim,2025-04-28,7.8,4,2025
Frankenthal,2025-05-28,7.9,5,2025
Ludwigshafen,2025-05-28,9.3,5,2025
Speyer,2025-05-28,5.9,5,2025
Heidelberg,2025-05-28,5.0,5,2025
Mannheim,2025-05-28,7.7,5,2025
Frankenthal,2025-06-28,8.2,6,2025
Ludwigshafen,2025-06-28,9.5,6,2025
Speyer,2025-06-28,6.1,6,2025
Heidelberg,2025-06-28,5.1,6,2025
Mannheim,2025-06-28,7.8,6,2025
Frankenthal,2025-07-28,8.3,7,2025
Ludwigshafen,2025-07-28,9.7,7,2025
Speyer,2025-07-28,6.2,7,2025
Heidelberg,2025-07-28,5.1,7,2025
Mannheim,2025-07-28,7.9,7,2025
Frankenthal,2025-08-28,8.3,8,2025
Ludwigshafen,2025-08-28,9.8,8,2025
Speyer,2025-08-28,6.4,8,2025
Heidelberg,2025-08-28,5.3,8,2025
Mannheim,2025-08-28,8.0,8,2025
Frankenthal,2025-09-28,8.2,9,2025
Ludwigshafen,2025-09-28,9.7,9,2025
Speyer,2025-09-28,6.2,9,2025
Heidelberg,2025-09-28,5.2,9,2025
Mannheim,2025-09-28,7.9,9,2025
Frankenthal,2025-10-28,8.2,10,2025
Ludwigshafen,2025-10-28,9.8,10,2025
Speyer,2025-10-28,6.1,10,2025
Heidelberg,2025-10-28,5.0,10,2025
Mannheim,2025-10-28,7.8,10,2025
Frankenthal,2025-11-28,8.1,11,2025
Ludwigshafen,2025-11-28,9.7,11,2025
Speyer,2025-11-28,5.8,11,2025
Heidelberg,2025-11-28,5.0,11,2025
Mannheim,2025-11-28,7.8,11,2025
Frankenthal,2025-12-28,8.3,12,2025
Ludwigshafen,2025-12-28,9.8,12,2025
Speyer,2025-12-28,5.8,12,2025
Heidelberg,2025-12-28,5.1,12,2025
Mannheim,2025-12-28,7.8,12,2025
